datetime, temperature
2019-09-25 07:10, 41.9
2019-09-25 07:20, 42.4
2019-09-25 07:30, 41.9
2019-09-25 07:40, 41.9
2019-09-25 07:50, 42.4
2019-09-25 08:00, 42.9
2019-09-25 08:10, 41.9
2019-09-25 08:20, 42.4
2019-09-25 08:30, 42.9
2019-09-25 08:40, 42.4
2019-09-25 08:50, 42.9
2019-09-25 09:00, 43.5
2019-09-25 09:10, 44.0
2019-09-25 09:20, 42.9
2019-09-25 09:30, 43.5
2019-09-25 09:40, 43.5
2019-09-25 09:50, 43.5
2019-09-25 10:00, 43.5
2019-09-25 10:10, 42.9
2019-09-25 10:20, 43.5
2019-09-25 10:30, 42.9
2019-09-25 10:40, 42.9
2019-09-25 10:50, 42.9
2019-09-25 11:00, 44.0
2019-09-25 11:10, 43.5
2019-09-25 11:20, 44.0
2019-09-25 11:30, 43.5
2019-09-25 11:40, 43.5
2019-09-25 11:50, 42.9
2019-09-25 12:00, 43.5
2019-09-25 12:10, 42.9
2019-09-25 12:20, 43.5
2019-09-25 12:30, 43.5
2019-09-25 12:40, 42.9
2019-09-25 12:50, 42.9
2019-09-25 13:00, 42.9
2019-09-25 13:10, 43.5
2019-09-25 13:20, 42.9
2019-09-25 13:30, 42.9
2019-09-25 13:40, 42.9
2019-09-25 13:50, 43.5
2019-09-25 14:00, 42.9
2019-09-25 14:10, 43.5
2019-09-25 14:20, 42.9
2019-09-25 14:30, 44.0
2019-09-25 14:40, 42.9
2019-09-25 14:50, 42.9
2019-09-25 15:00, 43.5
2019-09-25 15:10, 42.9
2019-09-25 15:20, 43.5
2019-09-25 15:30, 43.5
2019-09-25 15:40, 42.9
2019-09-25 15:50, 44.0
2019-09-25 16:00, 43.5
2019-09-25 16:10, 44.0
2019-09-25 16:20, 44.5
2019-09-25 16:30, 44.0
2019-09-25 16:40, 44.0
2019-09-25 16:50, 44.0
2019-09-25 17:00, 44.0
2019-09-25 17:10, 44.0
2019-09-25 17:20, 45.1
2019-09-25 17:30, 44.5
2019-09-25 17:40, 44.0
2019-09-25 17:50, 44.0
2019-09-25 18:00, 44.5
2019-09-25 18:10, 45.1
2019-09-25 18:20, 45.1
2019-09-25 18:30, 44.0
2019-09-25 18:40, 45.1
2019-09-25 18:50, 44.0
2019-09-25 19:00, 44.5
2019-09-25 19:10, 45.1
2019-09-25 19:20, 45.1
2019-09-25 19:30, 45.1
2019-09-25 19:40, 45.1
2019-09-25 19:50, 45.1
2019-09-25 20:00, 45.1
2019-09-25 20:10, 44.5
2019-09-25 20:20, 45.6
2019-09-25 20:30, 45.1
2019-09-25 20:40, 45.1
2019-09-25 20:50, 45.1
2019-09-25 21:00, 44.5
2019-09-25 21:10, 45.6
2019-09-25 21:20, 45.1
2019-09-25 21:30, 45.1
2019-09-25 21:40, 45.1
2019-09-25 21:50, 44.5
2019-09-25 22:00, 45.1
2019-09-25 22:10, 45.1
2019-09-25 22:20, 45.1
2019-09-25 22:30, 45.1
2019-09-25 22:40, 45.1
2019-09-25 22:50, 45.1
2019-09-25 23:00, 45.1
2019-09-25 23:10, 45.1
2019-09-25 23:20, 45.1
2019-09-25 23:30, 45.6
2019-09-25 23:40, 45.1
2019-09-25 23:50, 45.6
2019-09-26 00:00, 46.2
2019-09-26 00:10, 45.1
2019-09-26 00:20, 45.1
2019-09-26 00:30, 45.1
2019-09-26 00:40, 44.5
2019-09-26 00:50, 45.1
2019-09-26 01:00, 44.5
2019-09-26 01:10, 45.1
2019-09-26 01:20, 45.1
2019-09-26 01:30, 45.1
2019-09-26 01:40, 44.5
2019-09-26 01:50, 45.1
2019-09-26 02:00, 45.1
2019-09-26 02:10, 45.1
2019-09-26 02:20, 45.1
2019-09-26 02:30, 45.1
2019-09-26 02:40, 45.1
2019-09-26 02:50, 45.1
2019-09-26 03:00, 45.1
2019-09-26 03:10, 45.1
2019-09-26 03:20, 45.1
2019-09-26 03:30, 44.5
2019-09-26 03:40, 45.1
2019-09-26 03:50, 44.5
2019-09-26 04:00, 44.5
2019-09-26 04:10, 44.0
2019-09-26 04:20, 44.5
2019-09-26 04:30, 45.1
2019-09-26 04:40, 44.5
2019-09-26 04:50, 44.5
2019-09-26 05:00, 44.0
2019-09-26 05:10, 44.0
2019-09-26 05:20, 44.0
2019-09-26 05:30, 44.0
2019-09-26 05:40, 44.5
2019-09-26 05:50, 44.5
2019-09-26 06:00, 45.1
2019-09-26 06:10, 45.1
2019-09-26 06:20, 44.0
2019-09-26 06:30, 44.5
2019-09-26 06:40, 44.5
2019-09-26 06:50, 44.5
2019-09-26 07:00, 45.1
2019-09-26 07:10, 44.5
2019-09-26 07:20, 44.0
2019-09-26 07:30, 44.5
2019-09-26 07:40, 44.5
2019-09-26 07:50, 44.0
2019-09-26 08:00, 44.5
2019-09-26 08:10, 44.0
2019-09-26 08:20, 45.1
2019-09-26 08:30, 44.5
2019-09-26 08:40, 44.0
2019-09-26 08:50, 44.0
2019-09-26 09:00, 44.5
2019-09-26 09:10, 44.0
2019-09-26 09:20, 44.0
2019-09-26 09:30, 44.0
